Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
13416.85025,0,0.323911801,0.757377765,0,1323.621539
13400.17683,0,0.340150592,0.751522277,0,1323.621539
13403.89653,0,0.341589619,0.737961337,0,1323.621539
13646.37071,0,0.34818194,0.729718578,0,1323.621539
14650.00563,0,0.347888307,0.726217826,0,1323.621539
15217.05785,0,0.340559288,0.710416023,0,1323.621539
14981.00803,0,0.332266884,0.697140017,0,1323.621539
14876.47778,0,0.320883553,0.676979878,0,1323.621539
14925.12184,0.000159914,0.304803009,0.635327011,0,1323.621539
14904.10665,0.003145156,0.286774947,0.620796997,0,1323.621539
14904.10665,0.0082565,0.247404282,0.5933876,0,1323.621539
14894.27283,0.010461721,0.249555667,0.590275192,0,1323.621539
14894.27283,0.008273618,0.252041476,0.583268928,0,1323.621539
14894.27283,0.003205045,0.262797524,0.607095872,0,1323.621539
14956.50065,4.46E-05,0.265719305,0.634442347,0,1323.621539
14942.11823,0,0.264341686,0.640216166,0,1323.621539
14942.11823,0,0.258951711,0.60631753,0,1323.621539
14929.05314,0,0.252177998,0.548910526,0,1323.621539
14955.37742,0,0.245651898,0.511914952,0,1323.621539
14955.09105,0,0.239813365,0.500077938,0,1323.621539
14430.02625,0,0.241321855,0.487730968,0,1323.621539
13892.45799,0,0.253940669,0.481080761,0,1323.621539
13456.66123,0,0.224386651,0.422815399,0,1323.621539
13246.08611,0,0.248308837,0.391824127,0,1323.621539
13106.00949,0,0.251451549,0.36628029,0,1323.621539
13089.33686,0,0.25616339,0.347328048,0,1323.621539
13082.9483,0,0.248874642,0.332552484,0,1323.621539
13287.10145,0,0.230818824,0.329171185,0,1323.621539
14481.41953,0,0.219424438,0.327473015,0,1323.621539
15030.46509,0,0.202577807,0.316023224,0,1323.621539
14725.17126,0,0.189984247,0.295887643,0,1323.621539
14601.63839,0,0.181181101,0.277339709,0,1323.621539
14722.00203,0.000134912,0.175052834,0.267817922,0,1323.621539
14718.34915,0.003516386,0.174345337,0.251128972,0,1323.621539
14718.34915,0.011469042,0.167017964,0.208403912,0,1323.621539
14708.51534,0.013883165,0.163150486,0.206535469,0,1323.621539
14724.47759,0.016034101,0.158150705,0.239160161,0,1323.621539
14724.47759,0.004576681,0.162409856,0.274924755,0,1323.621539
14786.70541,7.65E-05,0.164596901,0.312328729,0,1323.621539
